 = vol_Ch, price_Ch, buy_Vs_Sell_Ch, volume, buy_Vs_Sell =
BTC-RDD,5.96,-1.18,3.47,1716.0615,0.331
BTC-BAY,4.18,2.09,4.64,103.3075,0.1983
BTC-KORE,3.51,1.18,0.94,13.7834,0.1713
BTC-NAV,3.32,-0.04,1.03,77.1112,0.2954
BTC-ETC,3.21,0.46,2.11,327.1681,0.1885
BTC-BURST,3.05,-0.38,1.75,42.7292,0.1568
BTC-BITB,3.0,0.0,1.26,112.6028,0.289
BTC-UNB,2.99,0.18,1.66,18.1351,0.2816
BTC-SLR,2.97,0.99,-1.01,12.1364,0.177
BTC-CANN,2.37,1.82,-1.01,18.2131,0.1075
BTC-BCPT,2.13,-0.97,-1.02,56.7582,0.1459
BTC-PAY,2.1,0.77,-1.43,68.6295,0.145
BTC-MONA,2.05,0.11,-0.71,58.7255,0.1534
BTC-ANT,1.82,2.62,1.8,42.4393,0.2319
BTC-RCN,1.59,0.06,-1.47,91.3869,0.1941
BTC-EBST,1.27,1.79,0.8,34.3132,0.1509
BTC-XMR,1.24,-0.0,-0.56,1484.5999,0.9002
BTC-TRX,1.22,1.07,2.37,2715.2609,0.3104
BTC-EXCL,1.16,0.02,0.72,10.0076,0.2529
BTC-CVC,1.14,-0.58,-0.88,118.9267,0.2374
BTC-SYNX,1.02,-0.78,-1.39,26.8406,0.1986
BTC-IGNIS,1.01,-0.83,0.34,73.9556,0.1461
